Route,Northbound Weekdays,Northbound Saturday,Northbound Sunday,Southbound Weekdays,Southbound Saturday,Southbound Sunday
1,5:45a-9:00a,2:25p-6:25p,NA,6:15a-9:00a,3:00p-7:00p,NA
2,6:00a-9:20a,3:40p-6:05p,NA,6:55a-9:20a,3:30p-7:05p,NA
3,4:20a-11:00p,5:50a-10:55p,5:50a-10:55p,5:40a-12:25a,5:30a-12:15a,7:05a-12:10a
4,5:00a-10:10p,6:00a-10:05p,7:05a-10:10p,5:15a-8:25p,5:25a-8:25p,5:40a-8:30p
X4,6:35a-9:40a,2:45p-6:00p,NA,6:00a-9:20a,1:35p-4:55p,NA
N5,11:50p-4:20a,11:50p-4:20a,11:50p-4:50a,12:15a-4:45a,12:15a-4:45a,12:15a-5:15a
6,4:00a-11:50p,4:45a-12:05a,4:55a-12:00m,5:00a-1:00a,5:40a-1:00a,5:50a-1:00a
7,6:10a-9:05p,NA,NA,6:00a-9:45p,NA,NA
8,4:05a-12:30a,3:40a-12:30a,4:05a-12:30a,4:05a-12:40a,4:05a-12:40a,5:00a-12:30a
8A,6:00a-12:25a,6:00a-12:20a,6:00a-12:20a,5:25a-11:40p,5:25a-11:40p,5:25a-11:40p
9,2:50a-12:00m,2:45a-12:00m,2:45a-12:00m,4:15a-1:25a,4:15a-1:30a,4:15a-1:25a
X9,6:00a-9:00a,2:30p-6:00p,NA,6:00a-9:05a,3:00p-6:05p,NA
10,8:55a-3:55p,8:55a-3:55p,8:55a-3:55p,9:40a-6:10p,9:40a-4:40p,9:40a-4:40p
11,6:00a-7:00p,7:10a-7:00p,7:05a-6:30p,6:25a-7:30p,7:35a-7:30p,7:30a-7:00p
12,4:10a-12:30a,4:10a-12:30a,4:35a-12:30a,4:05a-12:25a,4:15a-12:30a,4:15a-12:40a
J14,3:45a-10:20p,4:55a-9:00p,5:35a-8:20p,5:35a-11:10p,6:55a-11:25p,7:35a-10:40p
15,4:00a-12:05a,4:30a-12:10a,4:40a-12:10a,4:50a-1:00a,5:20a-1:00a,5:25a-1:00a
18,6:00a-8:20p,7:00a-7:00p,8:00a-7:00p,6:00a-9:10p,7:00a-7:50p,7:55a-7:45p
20,24h,24h,24h,24h,24h,24h
21,4:10a-10:30p,4:10a-10:55p,5:50a-10:30p,4:45a-11:20p,5:00a-11:20p,6:40a-11:20p
22,24h,24h,24h,24h,24h,24h
24,5:45a-7:40p,NA,NA,6:40a-8:30p,NA,NA
26,4:15a-1:45p,NA,NA,1:15p-9:20p,NA,NA
28,4:00a-11:45p,NA,NA,4:35a-12:25a,5:10a-12:30a,5:30a-12:30a
29,4:00a-11:30p,4:00a-11:30p,4:00a-11:30p,5:00a-12:30a,5:00a-12:30a,5:00a-12:35a
30,4:30a-10:30p,4:55a-10:30p,6:00a-9:45p,4:40a-10:30p,5:50a-10:30p,6:40a-10:30p
31,6:30a-7:00p,NA,NA,7:00a-7:00p,NA,NA
34,24h,24h,24h,24h,24h,24h
35,4:00a-11:20p,4:00a-11:25p,4:00a-11:20p,4:30a-11:50p,4:30a-11:55p,4:30a-11:50p
36,4:00a-11:20p,4:20a-11:20p,4:20a-11:20p,4:55a-12:30a,4:55a-12:40a,5:00a-12:30a
37,6:05a-6:55p,NA,NA,6:40a-7:30p,NA,NA
39,5:00a-10:00p,7:30a-5:15p,7:30a-5:15p,5:40a-10:40p,8:10a-6:00p,8:10a-6:00p
43,5:00a-8:10p,6:40a-6:50p,7:00a-6:50p,5:20a-8:00p,7:05a-7:15p,7:20a-7:15p
44,4:30a-9:40p,8:00a-6:00p,9:00a-6:00p,5:15a-10:25p,8:50a-6:45p,9:45a-6:45p
47,4:00a-12:35a,4:00a-12:40a,4:00a-12:35a,4:00a-12:40a,4:00a-12:40a,4:00a-12:40a
48,6:35a-9:25a,2:05p-6:05p,NA,6:30a-9:30a,2:35p-6:40p,NA
49,24h,24h,24h,24h,24h,24h
49B,4:35a-12:35a,4:35a-12:40a,5:35a-12:35a,4:20a-12:20a,4:20a-12:20a,5:20a-12:20a
X49,5:30a-9:00a,2:30p-5:30p,NA,6:00a-9:00a,2:30p-5:30p,NA
50,5:35a-11:15p,6:10a-11:10p,6:05a-11:05p,4:30a-10:00p,5:00a-10:00p,5:00a-10:00p
51,6:00a-8:50p,6:00a-8:50p,8:00a-8:50p,5:35a-8:30p,5:35a-8:30p,7:35a-8:30p
52,4:30a-10:40p,5:00a-10:40p,6:00a-10:20p,4:50a-11:00p,5:20a-10:40p,6:10a-10:40p
52A,4:15a-10:10p,4:55a-9:55p,7:45a-8:50p,3:55a-10:50p,4:30a-9:40p,7:30a-8:35p
53,3:55a-1:00a,3:55a-1:00a,3:55a-1:00a,3:55a-1:00a,3:55a-1:00a,3:55a-1:00a
53A,4:00a-11:40p,4:50a-10:35p,6:20a-10:35p,4:35a-12:15a,5:25a-11:10p,6:50a-11:05p
54,4:00a-12:50a,4:00a-12:40a,4:00a-12:30a,4:00a-12:45a,4:10a-12:40a,4:10a-12:35a
54A,6:00a-9:40a,2:10p-5:45p,NA,6:30a-9:35a,2:00p-6:15p,NA
54B,5:05a-11:40p,4:55a-11:25p,7:20a-8:00p,4:30a-11:05p,4:20a-10:50p,6:40a-7:10p
55,4:10a-1:10a,4:10a-1:10a,4:10a-12:45a,5:00a-2:00a,5:00a-2:00a,5:00a-2:00a
55A,5:30a-8:45a,3:40p-6:35p,NA,5:10a-8:20a,3:20p-6:10p,NA
55N,5:40a-8:25p,5:50a-7:20p,NA,5:25a-8:05p,5:30a-7:00p,NA
56,4:20a-9:40p,4:20a-9:40p,4:20a-9:40p,5:10a-10:40p,5:05a-10:40p,5:05a-10:30p
57,5:40a-9:00p,6:20a-6:00p,8:40a-6:00p,6:00a-9:20p,6:35a-6:20p,9:00a-6:15p
59,6:05a-8:00p,7:50a-7:50p,NA,5:40a-8:10p,7:45a-8:05p,NA
60,4:35a-11:00p,4:40a-11:00p,5:20a-11:00p,5:35a-11:50p,5:30a-11:50p,6:05a-11:50p
62,4:00a-2:00a,4:20a-2:00a,4:30a-2:00a,3:30a-1:15a,4:00a-1:15a,3:30a-1:15a
62H,5:15a-8:20p,5:30a-6:30p,NA,4:50a-8:00p,5:25a-6:25p,NA
63,24h,24h,24h,24h,24h,24h
63W,4:20a-11:00p,5:05a-11:00p,7:00a-10:00p,4:00a-10:40p,4:40a-10:40p,6:40a-9:40p
65,4:45a-9:00p,5:00a-9:00p,6:40a-9:05p,5:35a-10:00p,5:50a-10:00p,7:30a-10:00p
66,4:00a-12:00m,4:10a-11:55p,4:15a-11:55p,5:00a-12:55a,5:05a-12:50a,5:10a-12:50a
67,4:45a-11:20p,5:00a-11:15p,6:40a-11:20p,5:15a-12:10a,5:10a-12:10a,5:45a-12:10a
68,4:50a-9:50p,4:45a-9:45p,6:45a-8:15p,4:35a-9:30p,4:30a-9:30p,6:30a-8:00p
70,4:40a-10:40p,5:00a-10:40p,5:00a-10:40p,5:20a-11:20p,5:40a-11:35p,5:40a-11:20p
71,4:45a-11:40p,4:40a-11:40p,5:20a-11:40p,4:50a-11:50p,5:10a-11:45p,5:40a-11:45p
72,4:10a-12:50a,4:10a-12:45a,4:15a-12:40a,4:00a-12:45a,4:00a-12:30a,4:05a-12:25a
73,4:20a-9:40p,5:20a-6:40p,6:20a-6:40p,5:00a-10:20p,6:00a-7:30p,7:00a-7:25p
74,4:00a-12:00m,4:00a-12:00m,5:40a-12:00m,4:20a-12:40a,4:45a-12:40a,6:25a-12:45a
75,5:00a-11:00p,5:00a-11:00p,5:00a-11:00p,5:45a-11:45p,5:45a-11:45p,5:40a-11:35p
76,4:20a-10:30p,6:00a-9:20p,8:00a-7:45p,4:50a-11:20p,5:40a-10:20p,8:05a-8:40p
77,24h,24h,24h,24h,24h,24h
78,5:00a-10:00p,6:00a-10:00p,7:00a-10:00p,5:10a-10:05p,6:05a-10:05p,7:05a-9:55p
79,4:15a-11:20p,5:05a-11:10p,5:10a-11:15p,5:15a-12:20a,6:15a-12:20a,6:20a-12:20a
80,4:00a-12:00m,4:00a-12:00m,5:00a-12:00m,4:05a-12:05a,3:55a-12:15a,4:55a-12:10a
81,24h,24h,24h,24h,24h,24h
81W,5:25a-10:25p,5:20a-10:20p,8:45a-10:15p,4:55a-9:55p,4:50a-9:50p,8:20a-9:50p
82,4:30a-12:15a,4:45a-12:05a,6:15a-12:10a,4:50a-12:30a,5:00a-12:00m,7:15a-11:55p
84,5:00a-9:30p,5:00a-7:40p,7:30a-7:30p,5:35a-10:00p,5:25a-8:15p,8:00a-8:05p
85,4:00a-12:40a,4:20a-12:40a,4:20a-12:40a,3:20a-11:50p,3:40a-11:50p,3:40a-11:55p
85A,5:25a-9:10p,6:00a-7:30p,NA,5:10a-9:00p,5:50a-7:20p,NA
86,6:00a-9:30p,NA,NA,5:25a-9:00p,NA,NA
87,3:55a-1:05a,3:55a-1:05a,3:55a-1:05a,4:00a-1:00a,4:00a-1:00a,4:00a-1:00a
88,4:45a-10:15p,5:45a-10:15p,6:45a-10:15p,4:55a-10:30p,5:55a-10:30p,7:00a-10:25p
